Area,Perim.,BX,BY,Width,Height,handaxe_number
12.731,14.509,0.288,0.524,3.084,5.236,8194
8.884,11.734,0.247,0.199,2.924,4.121,11701
14.257,15.622,1.45,1.884,3.503,5.299,11704
16.556,16.301,0.737,1.125,3.762,5.838,11714
13.586,14.838,1.93,2.473,3.37,5.362,11720
10.614,13.168,2.129,2.235,2.958,4.776,11847
4.254,8.055,1.406,1.358,2.211,2.623,11957
8.351,11.927,2.032,2.924,2.788,4.199,12030
15.672,15.969,1.649,1.925,3.68,5.809,12043
5.67,9.594,2.012,3.544,2.463,3.438,12109
6.066,9.758,2.211,3.792,2.482,3.35,12113
10.931,13.351,1.925,2.73,3.035,4.756,12191
7.944,11.121,2.007,2.167,2.846,3.782,12197
11.91,13.789,1.867,2.395,3.253,4.941,12200
13.405,14.762,1.886,2.958,3.389,5.11,12201
8.176,11.494,2.032,2.23,2.647,4.082,12548
16.933,16.574,3.132,4.858,3.801,5.842,12717
5.517,9.178,0.507,0.579,2.179,3.287,12796
11.334,13.509,0.618,0.691,3.144,4.873,12800
15.643,16.001,0.887,1.818,3.673,5.758,12876
8.101,11.628,0.907,1.086,2.613,4.364,12877
7.903,11.362,1.886,3.195,2.579,4.034,12878
6.73,10.517,0.766,0.732,2.439,3.782,12881
7.998,11.368,0.625,0.596,2.652,4.027,12882
9.506,12.901,0.313,1.004,2.805,4.398,13164
10.479,12.879,1.229,1.491,3.207,4.347,13191
14.464,15.717,1.43,1.801,3.367,5.959,13192
7.798,11.332,2.036,2.313,2.681,4.112,13195
7.905,11.463,2.298,2.618,2.599,4.005,13196
7.365,11.173,2.167,1.944,2.415,4.019,13847
9.032,12.633,0.752,1.023,2.589,4.638,13858
12.877,14.64,2.308,2.172,3.234,5.275,13859
14.266,15.264,1.6,2.633,3.336,5.202,30336
17.192,17.875,0.793,1.207,3.411,6.524,30817
12.759,14.206,0.684,0.669,3.481,4.625,30824
5.08,8.989,2.138,3.898,2.398,2.778,30939
12.36,14.205,2.07,2.822,3.219,5.232,30956
12.268,13.857,0.819,1.452,3.409,4.735,30984
17.114,16.798,1.653,2.754,3.947,5.862,30994
7.983,11.494,1.891,3.442,2.875,3.942,31023
9.318,12.417,1.777,3.484,3.513,4.049,31030
5.193,9.037,2.453,4.044,2.177,3.253,31120
11.822,15.307,3.505,4.313,3.278,5.159,31165
8.362,11.45,4.044,4.17,3.018,3.787,31170
16.872,16.505,1.896,2.861,3.845,5.828,31251
7.161,10.794,3.59,4.099,2.526,3.864,31310
16.956,18.922,1.915,2.478,3.821,7.006,31313
4.448,8.52,2.473,4.145,2.051,2.914,31364
4.671,8.794,3.556,4.046,2.286,3.011,31365
14.16,15.276,1.867,2.807,3.476,5.522,31567
4.276,8.235,2.245,3.918,1.838,2.778,31601
13.363,14.642,2.158,2.589,3.21,5.212,31631
5.126,9.946,1.445,2.09,2.269,3.561,31641
16.036,16.795,4.131,3.85,3.612,5.942,31665
11.315,13.2,1.954,3.142,3.312,4.315,31673
6.491,10.316,2.097,2.267,2.427,3.741,31701
7.368,10.767,2.08,3.549,2.592,3.76,31752
5.309,9.758,3.598,3.903,2.085,3.362,31754
10.261,12.994,3.964,3.935,3.181,4.189,31755
11.07,13.338,0.279,0.131,3.207,4.594,1803933